0	33.44
8	33.44
10	33.437
19	33.42
20	33.421
30	33.431
39	33.44
50	33.424
58	33.42
75	33.494
78	33.51
100	33.58
117	33.64
125	33.689
150	33.847
152	33.86
200	33.876
250	33.926
285	33.98
300	33.99
373	34.04
400	34.056
500	34.113
598	34.16
600	34.161
700	34.21
800	34.261
896	34.31
0	32.95
10	32.94
20	32.939
24	32.95
30	33.013
47	33.24
50	33.272
71	33.46
75	33.488
94	33.6
100	33.631
125	33.745
140	33.8
150	33.833
189	33.93
200	33.939
250	33.943
282	33.95
300	33.957
379	34
400	34.016
500	34.101
565	34.16
600	34.188
700	34.259
800	34.319
840	34.34
900	34.354
1000	34.378
1100	34.403
1200	34.429
1203	34.43
0	32.63
10	32.66
20	32.66
22	32.66
30	32.673
38	32.68
49	32.75
50	32.736
55	32.66
73	32.74
75	32.765
99	33.12
100	33.132
125	33.398
150	33.605
191	33.82
200	33.844
250	33.926
290	33.93
300	33.941
400	34.041
488	34.11
500	34.113
600	34.135
700	34.151
789	34.16
800	34.169
900	34.252
1000	34.336
1100	34.421
1134	34.45
0	32.68
8	32.7
10	32.694
19	32.66
20	32.657
30	32.641
50	32.699
62	32.79
75	32.967
84	33.1
100	33.286
125	33.533
127	33.55
150	33.746
164	33.84
200	33.863
242	33.89
250	33.893
300	33.91
329	33.75
400	33.955
492	34
500	34.01
600	34.128
700	34.245
739	34.29
800	34.309
900	34.34
1000	34.372
1085	34.4
0	32.75
8	32.75
10	32.748
19	32.74
20	32.74
30	32.737
50	32.738
55	32.74
71	32.74
75	32.791
100	33.42
125	33.565
128	33.62
150	33.724
191	33.78
200	33.807
250	33.938
255	33.95
300	33.988
380	34
400	34.012
500	34.075
600	34.141
700	34.211
755	34.25
0	32.88
9	32.86
10	32.86
20	32.86
23	32.86
30	32.863
47	32.88
50	32.882
71	32.9
75	32.927
94	33.1
100	33.165
125	33.425
141	33.58
150	33.638
187	33.8
200	33.833
250	33.916
279	33.93
300	33.944
377	33.98
400	33.996
500	34.073
568	34.13
600	34.154
700	34.225
800	34.286
846	34.31
900	34.321
1000	34.342
1100	34.363
1200	34.385
1300	34.408
1352	34.42
0	33.17
8	33.24
10	33.212
20	33.057
21	33.04
30	33.068
43	33.17
50	33.159
65	33.13
75	33.158
87	33.22
100	33.283
125	33.383
130	33.4
150	33.42
172	33.44
200	33.518
250	33.672
254	33.86
300	33.828
341	33.95
400	33.932
500	33.942
514	33.8
600	33.996
700	34.086
747	34.14
800	34.166
900	34.217
1000	34.268
1100	34.32
1200	34.374
1212	34.38
0	33.13
7	32.92
10	32.9
19	32.84
20	32.842
30	32.858
50	32.891
55	32.9
74	33.04
75	33.042
100	33.096
111	33.12
125	33.164
150	33.293
151	33.3
200	33.66
217	33.77
250	33.874
291	33.93
300	33.934
400	33.934
443	33.91
500	33.936
600	33.993
681	34.05
700	34.061
800	34.12
900	34.179
1000	34.24
1016	34.25
0	32.97
9	32.94
10	32.94
20	32.94
22	32.94
30	32.963
44	33.01
50	33
67	32.95
75	32.983
90	33.08
100	33.15
125	33.356
134	33.44
150	33.585
174	33.78
200	33.806
250	33.952
300	33.946
319	33.98
400	33.98
479	33.98
500	33.996
600	34.082
700	34.18
719	34.2
800	34.229
900	34.266
1000	34.304
1100	34.343
1144	34.36
0	32.88
8	32.84
10	32.84
19	32.84
20	32.838
30	32.821
39	32.81
50	32.847
59	32.88
75	32.827
79	32.81
100	32.936
120	33.12
125	33.147
150	33.284
162	33.35
200	33.665
240	33.95
250	33.951
300	33.957
326	33.96
400	34.03
491	34.13
500	34.134
600	34.166
700	34.18
734	34.18
800	34.198
900	34.226
1000	34.255
1100	34.285
1178	34.31
0	32.77
8	32.84
10	32.843
20	32.858
21	32.86
30	32.81
41	32.75
50	32.769
62	32.83
75	32.908
82	32.95
100	32.983
123	33.04
125	33.058
150	33.302
167	33.49
200	33.706
247	33.89
250	33.898
300	33.994
327	34.02
400	34.089
481	34.13
500	34.131
600	34.13
700	34.131
720	34.13
800	34.187
900	34.258
1000	34.332
1100	34.406
1118	34.42
0	32.95
9	32.9
10	32.896
20	32.864
22	32.86
30	32.86
45	32.86
50	32.846
67	32.81
75	32.866
90	33.01
100	33.087
125	33.286
135	33.37
150	33.495
176	33.69
200	33.788
250	33.936
257	33.57
300	34.005
345	34
400	34.05
500	34.105
519	34.11
600	34.144
700	34.179
776	34.2
800	34.207
900	34.238
1000	34.269
1100	34.301
1190	34.33
0	32.84
9	32.78
10	32.781
20	32.798
24	32.81
30	32.782
47	32.7
50	32.709
71	32.77
75	32.793
94	32.92
100	32.95
125	33.104
140	33.22
150	33.342
180	33.69
200	33.686
250	33.706
274	33.73
300	33.73
371	33.73
400	33.786
500	34.006
550	34.13
600	34.187
700	34.269
800	34.308
818	34.31
900	34.315
1000 34.321
